ga:cityId,ga:dimension5
1015337,small town
1015338,small town
1015339,small town
1015340,small town
1015342,small town
1015343,small town
1015346,small town
1015347,small town
1015349,small town
1015350,small town
1015351,small town
1015352,small town
1015353,town
1015354,small town
1015355,small town
1015356,small town
1015358,small town
1015359,small town
1015361,small town
1015362,town
1015363,small town
1015364,small town
1015365,small town
1015366,small town
1015367,small town
1015368,small town
1015369,small town
1015370,small town
1015371,town
1015372,small town
1015373,small town
1015374,small town
1015375,small town
1015376,small town
1015378,small town
1015379,small town
1015380,small town
1015381,small town
1015382,small town
1015383,small town
1015384,small town
1015385,town
1015386,small town
1015387,small town
1015388,small town
1015389,small town
1015390,small town
1015391,small town
1015392,small town
1015393,small town
1015394,small town
1015395,small town
1015396,small town
1015398,small town
1015399,town
1015401,small town
1015402,small town
1015403,small town
1015404,town
1015405,small town
1015406,small town
1015407,small town
1015408,town
1015409,small town
1015410,small town
1015411,small town
1015412,small town
1015413,small town
1015414,small town
1015416,small town
1015418,small town
1015419,small town
1015420,small town
1015421,small town
1015422,small town
1015423,small town
1015424,small town
1015425,small town
1015428,small town
1015429,small town
1015431,large town
1015433,town
1015434,small town
1015435,small town
1015436,small town
1015438,town
1015439,small town
1015440,small town
1015441,small town
1015442,small town
1015443,small town
1015444,small town
1015445,small town
1015446,small town
1015447,small town
1015448,small town
1015449,small town
1015450,small town
1015451,small town
1015452,town
1015453,small town
1015454,small town
1015455,small town
1015457,small town
1015458,small town
1015459,small town
1015460,small town
1015461,small town
1015462,small town
1015463,small town
1015464,town
1015465,small town
1015466,small town
1015467,small town
1015468,small town
1015470,small town
1015471,small town
1015472,small town
1015473,town
1015474,small town
1015476,small town
1015478,small town
1015480,small town
1015481,small town
1015483,small town
1015484,small town
1015485,small town
1015486,small town
1015487,small town
1015488,small town
1015489,small town
1015490,small town
1015492,small town
1015493,town
1015494,small town
1015495,small town
1015496,large town
1015497,small town
1015498,small town
1015499,small town
1015501,city
1015503,small town
1015504,small town
1015505,small town
1015506,small town
1015507,large town
1015508,town
1015509,small town
1015510,small town
1015511,small town
1015512,small town
1015513,town
1015516,town
1015517,small town
1015518,town
1015519,small town
1015520,small town
1015521,town
1015522,small town
1015523,small town
1015524,small town
1015525,small town
1015526,small town
1015527,small town
1015528,small town
1015529,small town
1015530,town
1015531,small town
1015532,small town
1015533,small town
1015535,small town
1015536,small town
1015537,town
1015538,small town
1015539,small town
1015540,small town
1015541,town
1015542,small town
1015544,large town
1015545,small town
1015546,small town
1015547,small town
1015548,small town
1015549,small town
1015550,large town
1015551,small town
1015552,small town
1015553,small town
1015554,small town
1015555,small town
1015556,small town
1015558,small town
1015559,small town
1015560,small town
1015562,small town
1015563,town
1015564,small town
1015565,small town
1015566,small town
1015567,small town
1015579,city
1015621,small town
1015622,small town
1015623,small town
1015624,small town
1015625,small town
1015626,small town
1015627,small town
1015628,small town
1015629,small town
1015630,small town
1015631,small town
1015632,small town
1015633,small town
1015634,small town
1015635,small town
1015636,small town
1015637,small town
1015638,town
1015640,large town
1015641,small town
1015642,small town
1015643,small town
1015644,large town
1015645,small town
1015646,small town
1015647,small town
1015648,small town
1015649,small town
1015650,small town
1015651,small town
1015652,small town
1015653,small town
1015654,small town
1015655,small town
1015656,small town
1015657,small town
1015658,small town
1015659,small town
1015660,small town
1015661,small town
1015662,small town
1015663,small town
1015664,small town
1015665,town
1015666,small town
1015667,small town
1015668,small town
1015669,small town
1015670,small town
1015671,small town
1015672,small town
1015673,small town
1015674,small town
1015675,small town
1015676,small town
1015677,small town
1015678,small town
1015679,town
1015681,small town
1015682,small town
1015683,small town
1015684,small town
1015685,small town
1015686,small town
1015687,small town
1015688,small town
1015689,small town
1015690,small town
1015691,small town
1015692,small town
1015693,small town
1015694,town
1015695,city
1015697,small town
1015698,small town
1015699,small town
1015700,small town
1015701,small town
1015702,small town
1015703,small town
1015704,small town
1015705,small town
1015706,small town
1015707,small town
1015708,small town
1015709,small town
1015710,town
1015711,small town
1015712,small town
1015713,small town
1015714,small town
1015715,small town
1015716,small town
1015717,small town
1015718,small town
1015719,small town
1015720,town
1015721,small town
1015722,small town
1015723,small town
1015724,large town
1015725,small town
1015726,small town
1015727,small town
1015728,small town
1015729,small town
1015730,small town
1015731,small town
1015732,small town
1015733,small town
1015734,small town
1015735,small town
1015736,large town
1015737,small town
1015738,small town
1015739,small town
1015740,small town
1015741,small town
1015742,small town
1015743,small town
1015744,small town
1015745,small town
1015746,city
1015747,small town
1015748,small town
1015749,small town
1015750,small town
1015751,small town
1015752,small town
1015753,small town
1015754,large town
1015755,small town
1015756,small town
1015757,small town
1015758,small town
1015759,small town
1015760,small town
1015761,small town
1015762,small town
1015763,small town
1015764,small town
1015765,small town
1015766,small town
1015767,small town
1015768,small town
1015769,small town
1015770,small town
1015771,small town
1015772,small town
1015773,small town
1015774,small town
1015775,small town
1015776,small town
1015777,small town
1015778,small town
1015779,small town
1015780,small town
1015781,small town
1015782,small town
1015783,small town
1015784,small town
1015785,small town
1015786,small town
1015787,small town
1015788,small town
1015789,small town
1015790,small town
1015791,town
1015792,small town
1015793,small town
1015794,small town
1015795,small town
1015796,small town
1015797,small town
1015798,small town
1015799,small town
1015800,small town
1015801,small town
1015802,small town
1015803,small town
1015804,small town
1015805,small town
1015806,small town
1015807,small town
1015808,small town
1015809,small town
1015810,small town
1015811,small town
1015812,small town
1015813,small town
1015814,small town
1015815,small town
1015816,small town
1015817,small town
1015818,small town
1015819,small town
1015820,small town
1015821,small town
1015822,small town
1015823,small town
1015824,small town
1015825,small town
1015826,small town
1015827,small town
1015828,small town
1015829,small town
1015830,small town
1015831,small town
1015832,small town
1015833,small town
1015834,small town
1015835,small town
1015836,small town
1015837,small town
1015838,small town
1015839,small town
1015840,small town
1015841,small town
1015842,small town
1015843,small town
1015844,large town
1015845,small town
1015846,small town
1015847,small town
1015848,small town
1015850,town
1015851,small town
1015852,small town
1015853,small town
1015854,small town
1015855,small town
1015856,small town
1015857,small town
1015858,small town
1015859,small town
1015860,small town
1015861,small town
1015862,small town
1015863,small town
1015864,small town
1015865,small town
1015866,small town
1015867,small town
1015868,small town
1015869,small town
1015870,small town
1015871,small town
1015872,small town
1015873,small town
1015874,small town
1015875,small town
1015876,small town
1015878,small town
1015879,small town
1015880,small town
1015881,small town
1015882,small town
1015883,small town
